id,name,code,area,lat,lng
107,十吉292,M7511EA2941,七股區,23.0973109,120.0360755
108,十吉294,M7511EB1690,七股區,23.0979336,120.0360223
109,十吉295,M7511EB1975,七股區,23.0982495,120.0360005
110,十吉293,M7511EB2225,七股區,23.0976177,120.0360538
111,十吉296,M7511EC1254,七股區,23.0985112,120.0359791
112,十吉297,M7511EC1621,七股區,23.0988451,120.0359474
113,三股118左15,M7512GB37,七股區,23.1025511,120.0380489
114,三股118左14-1,M7512GB57,七股區,23.1025523,120.0382441
115,三股118左14,M7512GB76,七股區,23.1024632,120.03844
116,三股118左13,M7512HB15,七股區,23.1023753,120.0388311
117,三股118左12,M7512HB54,七股區,23.1022874,120.0392222
118,三股118左11,M7512HB93,七股區,23.1021994,120.0396132
119,十吉224 A2,M7606CE29,七股區,23.0783757,120.0420273
120,十吉229-1,M7607AA15,七股區,23.078905,120.039974
121,十吉229,M7607AA55,七股區,23.0789074,120.0403644
122,十吉228,M7607AA85,七股區,23.0789091,120.0406572
123,十吉227,M7607BA15,七股區,23.0789109,120.04095
124,十吉226,M7607BA55,七股區,23.0789133,120.0413403
125,十吉225,M7607BA85,七股區,23.0789151,120.0416331
126,十吉224 A1,M7607CA23,七股區,23.0787368,120.0420247
127,十吉224,M7607CA25,七股區,23.0789174,120.0420235
128,十吉223,M7607CA55,七股區,23.0789192,120.0423162
129,十吉222,M7607CA95,七股區,23.0789216,120.0427066
130,十吉221,M7607DA35,七股區,23.0789239,120.043097
131,十吉220-1,M7607DA65,七股區,23.0789257,120.0433898
132,十吉220,M7607EA05,七股區,23.0789281,120.0437801
133,十吉219,M7607EA25,七股區,23.0789293,120.0439753
134,十吉218-1,M7607EA65,七股區,23.0789316,120.0443657
135,十吉218,M7607EA95,七股區,23.0789334,120.0446584
136,十吉218 B1,M7607FA08,七股區,23.0792049,120.0447541
137,十吉217,M7607FA15,七股區,23.0789346,120.0448536
138,十吉216-1,M7607FA45,七股區,23.0789363,120.0451464
139,十吉216,M7607FA85,七股區,23.0789387,120.0455368
140,十吉193左31 A1,M7607FE23,七股區,23.0823663,120.044927
141,十吉193左31,M7607FE24,七股區,23.0824566,120.0449263
142,十吉193左30,M7607FE54,七股區,23.0824584,120.0452191
143,十吉193左29 A1,M7607FE91,七股區,23.0821899,120.0456114
144,十吉193左29,M7607FE92,七股區,23.0822802,120.0456108
145,十吉215,M7607GA15,七股區,23.0789405,120.0458296
146,十吉214-1,M7607GA55,七股區,23.0789428,120.0462199
147,十吉214,M7607GA95,七股區,23.0789452,120.0466103
148,十吉193左28,M7607GE3203,七股區,23.0823096,120.046001
149,十吉193左27,M7607GE6174,七股區,23.0822305,120.0463626
150,十吉193左26,M7607GE91,七股區,23.0821958,120.0465874
151,十吉213,M7607HA36,七股區,23.0790378,120.047
152,十吉213 B1,M7607HA38,七股區,23.0792184,120.0469987
153,十吉212-1,M7607HA76,七股區,23.0790402,120.0473904
154,十吉193左25,M7607HD3986,七股區,23.0820722,120.0470567
155,十吉193左24,M7607HD7847,七股區,23.081993,120.0474086
156,十吉254左9,M7608AB20,七股區,23.0838717,120.0400363
157,十吉254左10,M7608AB60,七股區,23.0838741,120.0404267
158,十吉254左11,M7608AB98,七股區,23.0845982,120.0407144
159,十吉254左12,M7608BB38,七股區,23.0846006,120.0411048
160,,M7608HA99,七股區,23.0838269,120.0475519
161,三股82右31左21右6 C5,M7608HE40,七股區,23.0866231,120.0470441
162,三股82右31左21右6 C4,M7608HE9438,七股區,23.0870596,120.0475583
163,三股82右31左21右6 C3,M7608HE99,七股區,23.0874387,120.0475264
164,三股156 A3,M7609AA2227,七股區,23.0877273,120.0400285
165,三股156,M7609AA28,七股區,23.0882058,120.0400056
166,,M7609AA29,七股區,23.0882961,120.0400049
167,三股156 A2,M7609AA3506,七股區,23.0879897,120.0401047
168,三股156 A1,M7609AA3810,七股區,23.0882064,120.0401129
169,三股155,M7609AA5885,七股區,23.0882532,120.0403761
170,,M7609AA5982,七股區,23.0883164,120.0403757
171,三股154,M7609AA87,七股區,23.0881191,120.0405918
172,,M7609AA8700,七股區,23.0881191,120.0405918
